Date,Field,Bunches,weight
6/18/12,93,61,1044
6/18/12,102,48,540
6/18/12,1011,12,198
6/25/12,1011,58,1260
6/25/12,101,82,1188
6/25/12,93,21,252
7/2/12,93,53,846
7/2/12,96,47,720
7/2/12,1011,24,234
7/16/12,101,71,1134
7/16/12,96,23,450
7/16/12,93,16,216
7/9/12,1011,73,954
7/9/12,101,23,342
7/9/12,102,44,504
7/23/12,1011,117,1602
7/23/12,96,11,72
7/23/12,93,10,126
7/30/12,93,27,378
7/30/12,96,34,558
7/30/12,101,60,864
8/6/12,102,81,1134
8/6/12,101,38,666
8/13/12,1011,161,1800
8/13/12,1011,90,972
8/20/12,1011,186,1818
8/20/12,96,55,882
8/27/12,93,78,1260
8/27/12,96,21,324
8/27/12,102,21,216
9/3/12,101,116,1800
9/10/12,1011,132,1800
9/17/12,1011,35,612
9/17/12,96,78,1188
9/24/12,93,91,1566
9/24/12,102,15,234
10/1/12,102,88,1188
10/1/12,1011,64,612
10/8/12,1011,160,1800
10/15/12,101,112,1800
10/22/12,96,176,3168
10/22/12,93,49,432
11/6/12,101,127,2178
11/6/12,102,94,1422
11/12/12,1011,86,918
11/12/12,96,75,1404
11/12/12,93,82,1296
11/22/12,1011,38,738
11/22/12,101,155,2502
11/22/12,93,52,810
11/27/12,102,74,900
11/27/12,93,63,900
11/27/12,1011,68,900
12/4/12,96,116,1800
12/11/12,96,31,468
12/11/12,101,73,1332
12/18/12,93,68,1188
12/18/12,96,34,612
1/7/13,101,108,1980
1/15/13,96,102,2034
1/15/13,93,46,666
1/22/13,93,115,2178
1/22/13,1011,54,846
1/22/13,101,43,774
1/29/13,102,146,2286
1/29/13,101,64,1188
1/29/13,1011,25,126
2/5/13,101,207,3600
2/12/13,96,213,3600
2/19/13,96,25,450
2/19/13,93,188,3150
2/26/13,93,100,1602
2/26/13,1011,144,1998
3/5/13,102,102,1638
3/5/13,101,115,1962
3/12/13,101,157,2700
3/19/13,101,91,1512
3/19/13,96,127,2178
3/19/13,93,53,810
3/26/13,93,113,1800
3/26/13,1011,117,1800
4/9/13,102,39,774
4/9/13,101,155,2646
4/9/13,1011,23,180
4/16/13,96,126,2340
4/16/13,101,85,1260
4/23/13,101,64,972
4/23/13,1011,221,2628
4/30/13,93,181,2646
4/30/13,96,49,936
4/30/13,102,66,1062
5/6/13,102,14,396
5/6/13,101,139,2394
5/13/13,101,63,972
5/13/13,1011,47,1134
5/20/13,96,56,882
5/20/13,93,46,756
5/20/13,102,57,882
5/27/13,101,103,1800
6/10/13,1011,73,990
6/10/13,96,50,810
6/18/13,93,44,684
6/18/13,101,68,1116
6/24/13,102,34,234
6/24/13,101,14,576
6/24/13,1011,79,990
7/15/13,96,58,1080
7/15/13,1011,54,720
7/22/13,1011,108,1296
7/22/13,93,32,486
6/30/13,93,31,594
6/30/13,101,74,1206
8/12/13,1011,81,1170
8/12/13,101,33,630
8/19/13,1011,121,1422
8/19/13,101,28,378
8/26/13,96,56,1044
8/26/13,101,43,828
9/2/13,96,15,198
9/2/13,1011,57,864
9/2/13,93,50,738
9/9/13,93,15,216
9/9/13,1011,54,576
9/9/13,102,80,1008
9/16/13,101,110,2808
9/23/13,101,69,1314
9/23/13,93,38,486
10/1/13,96,103,1872
10/1/13,1011,45,864
10/8/13,1011,107,1368
10/8/13,101,90,1332
10/15/13,101,43,828
10/15/13,102,129,1872
10/22/13,93,62,990
10/22/13,96,54,810
10/28/13,1011,66,882
10/28/13,101,77,2070
11/4/13,101,68,1098
11/4/13,102,47,702
11/12/13,1011,94,1224
11/12/13,93,55,576
11/19/13,96,112,1800
11/25/13,96,67,1296
11/25/13,93,45,504
12/4/13,101,78,1386
12/4/13,93,70,1260
12/4/13,1011,10,54
12/11/13,101,96,2088
12/11/13,102,32,612
12/17/13,102,74,1116
12/17/13,1011,152,2574
12/17/13,96,24,1692
1/7/14,93,137,2538
1/7/14,96,14,162
1/14/14,96,143,3258
1/14/14,1011,20,342
1/22/14,1011,221,3600
1/28/14,101,217,3600
2/7/14,101,43,936
2/7/14,102,188,2664
2/11/14,93,187,3510
2/11/14,96,16,90
2/18/14,96,195,3600
2/25/14,1011,221,3600
3/4/14,1011,144,2538
3/4/14,101,70,1062
3/11/14,101,250,4500
3/18/14,102,118,1962
3/18/14,101,36,738
3/20/14,93,99,1800
3/25/14,93,95,1926
3/25/14,96,92,1674
4/2/14,96,49,990
4/2/14,1011,171,2610
4/15/14,101,188,3600
4/23/14,93,112,1980
4/23/14,96,100,1620
4/30/14,1011,168,2412
4/30/14,101,70,1188
5/14/14,101,37,648
5/14/14,102,39,720
5/14/14,93,68,1170
5/14/14,96,65,1062
5/21/14,1011,74,1026
5/21/14,101,50,774
5/27/14,101,75,1422
5/27/14,102,23,378
6/3/14,102,51,936
6/3/14,93,51,864
6/10/14,96,106,1800
6/17/14,1011,137,1800
6/24/14,101,110,1800
7/8/14,93,123,1926
7/8/14,96,52,774
7/16/14,102,64,936
7/16/14,96,18,306
7/16/14,1011,35,558
7/22/14,1011,87,1242
7/22/14,101,42,558
8/5/14,101,67,1296
8/5/14,93,39,504
8/13/14,93,67,1098
8/13/14,96,92,1602
8/20/14,96,15,270
8/20/14,1011,146,2430
8/27/14,101,110,1800
9/3/14,102,141,2286
9/3/14,101,28,414
9/10/14,93,133,1602
9/10/14,96,63,1098
9/17/14,96,54,1206
9/17/14,1011,90,1494
9/23/14,1011,97,1512
9/23/14,101,27,288
9/30/14,101,160,2448
9/30/14,102,16,252
10/8/14,93,120,1224
10/8/14,102,111,1476
10/15/14,96,146,2160
10/15/14,1011,47,540
10/22/14,1011,122,1440
10/22/14,101,100,1260
10/29/14,101,42,648
10/29/14,102,77,1062
10/29/14,93,21,90
11/5/14,93,84,1242
11/5/14,96,104,1458
11/12/14,1011,134,1692
11/12/14,101,13,108
11/19/14,101,105,1134
11/19/14,102,69,666
11/26/14,102,28,342
11/26/14,93,55,594
11/26/14,96,61,864
12/10/14,1011,150,1800
12/17/14,101,136,1746
12/17/14,102,48,234
12/17/14,96,44,720
1/7/15,96,98,1296
1/7/15,1011,123,1404
1/14/15,1011,51,720
1/14/15,101,139,1566
1/14/15,93,43,414
1/21/15,96,135,1746
2/4/15,96,149,2250
2/4/15,1011,25,234
2/4/15,93,35,216
2/11/15,1011,205,2700
2/18/15,1011,83,1062
2/18/15,101,115,1638
2/25/15,101,102,1332
2/25/15,102,134,1368
3/3/15,96,196,2700
3/17/15,96,57,738
3/17/15,1011,127,1962
3/24/15,1011,59,810
3/24/15,101,120,990
3/25/15,101,85,1026
4/14/15,96,117,1782
4/21/15,1011,124,1800
5/5/15,101,173,2700
5/12/15,101,169,2700
5/26/15,96,171,2700
5/28/15,96,71,1080
5/28/15,1011,100,1620
6/8/15,101,65,1134
6/15/15,101,80,1170
6/15/15,96,93,1530
6/17/15,101,80,1170
6/17/15,96,86,2286
6/17/15,1011,63,270
6/23/15,1011,123,1458
6/23/15,101,40,342
7/14/15,1011,147,1800
7/27/15,96,47,792
7/27/15,1011,19,162
7/27/15,101,52,846
8/4/15,96,18,306
8/4/15,1011,56,648
8/4/15,101,53,846
8/18/15,96,35,576
8/18/15,1011,43,558
8/18/15,101,45,666
8/25/15,96,30,540
8/25/15,1011,40,576
8/25/15,101,23,324
9/7/15,1011,86,1278
9/7/15,101,27,468
9/7/15,96,5,54
9/16/15,101,39,576
9/16/15,1011,28,774
9/16/15,96,34,450
9/28/15,101,49,738
9/28/15,1011,31,576
9/28/15,96,35,486
10/12/15,96,56,1044
10/12/15,1011,57,756
10/19/15,101,112,1800
10/26/15,96,105,1800
11/2/15,1011,144,1800
11/9/15,101,121,1692
11/9/15,1011,10,108
11/16/15,1011,39,576
11/16/15,96,114,1224
11/30/15,101,21,306
11/30/15,1011,32,684
11/30/15,96,22,450
12/14/15,101,27,522
12/14/15,1011,53,846
12/14/15,96,37,432
1/5/16,96,103,1800
1/12/16,96,125,2700
1/19/16,96,44,900
1/19/16,1011,183,2700
1/26/16,1011,166,3024
1/26/16,101,36,630
2/2/16,101,237,3618
2/10/16,101,185,2808
2/10/16,96,66,1080
2/16/16,96,209,3690
2/23/16,1011,17,270
2/23/16,96,194,3330
3/1/16,1011,232,3726
3/9/16,1011,175,1656
3/9/16,101,146,2448
3/15/16,96,28,378
3/15/16,1011,24,414
3/15/16,101,227,3708
3/22/16,96,150,2700
4/5/16,96,95,1314
4/5/16,1011,89,1512
4/12/16,1011,196,2808
4/19/16,1011,111,1962
4/19/16,101,59,756
4/26/16,101,196,3348
5/4/16,101,107,1764
5/4/16,96,64,972
5/10/16,96,142,2700
5/17/16,1011,232,3330
5/24/16,101,127,1728
5/24/16,96,29,504
6/1/16,96,87,1800
6/7/16,1011,151,1800
6/14/16,101,95,1188
6/14/16,96,41,612
6/27/16,96,57,1098
6/27/16,1011,52,702
7/6/16,1011,94,1674
7/6/16,96,8,126
7/19/16,101,136,1674
7/19/16,96,10,126
7/26/16,96,119,1980
8/8/16,1011,150,1800
8/16/16,101,35,450
8/16/16,96,26,594
